name,identity,alignment,appearanceCount,yearOfAppearance
Samuel Smithers,Public Identity,Bad,73,1963
Wilbur Day,Public Identity,Bad,73,1965
Silvio Manfredi,Public Identity,Bad,73,1969
Richard Fisk,Secret Identity,Bad,73,1970
Edward Whelan,Secret Identity,Neutral,73,1982
Donald Gill,Public Identity,Neutral,73,1987
Alani Ryan,Secret Identity,Good,73,2004
Maynard Tiboldt,Public Identity,,72,1962
Esteban Coraz\u00f3n de Ablo,Secret Identity,Bad,72,1964
Marvin Flumm,Secret Identity,Bad,72,1966
Nathaniel Richards,No Dual Identity,Neutral,72,1984
Kathryn Cushing,,,72,1985
Cameron Hodge,Public Identity,Bad,72,1986
Alistaire Stuart,No Dual Identity,,72,1989
Stacy Dolan,Public Identity,Good,72,1990
Sleepwalker,Secret Identity,Good,72,1991
Ben Hamill,Secret Identity,Good,72,2004
Ivan Kragoff,Secret Identity,Bad,71,1963
Marco Scarlotti,Public Identity,Bad,71,1968
Jennifer Takeda,Public Identity,Good,71,2010
Broo,Secret Identity,Good,71,2011
Boris Bullski,Secret Identity,Bad,70,1965
Maximillian Coleridge,Secret Identity,Good,70,1976
Oracle (Sybil),Public Identity,Good,70,1977
Hope Abbott,Secret Identity,Good,70,2005
"Nicholas Fury, Jr.",No Dual Identity,Good,70,2012
Fin Fang Foom,Secret Identity,Bad,69,1961
Shalla-Bal,Secret Identity,Good,69,1968
Samuel Saxon,Public Identity,Bad,69,1969
Jean DeWolff,Public Identity,Good,69,1976
Blanche Sitznski,Secret Identity,Bad,69,1980
Tanya Sealy,Secret Identity,Neutral,69,1980
Joy Mercado,Public Identity,Good,69,1983
Bennet du Paris,Secret Identity,Bad,69,1993
Martha Franklin,Secret Identity,Good,69,1998
Bentley Wittman (Clone),No Dual Identity,Good,69,2009
Rachel van Helsing,Public Identity,,68,1972
Jerome Beechman,Public Identity,Bad,68,1973
Tyros,Public Identity,Bad,68,1979
Yukio,No Dual Identity,Neutral,68,1982
Lila Cheney,Public Identity,Good,68,1984
Thomas Fireheart,Secret Identity,Neutral,68,1984
Everett Ross,Public Identity,Good,68,1998
Criti Noll (Clone),Secret Identity,Bad,68,2006
Korg,No Dual Identity,Good,67,1962
Mark Raxton,Public Identity,Good,67,1965
Calvin Rankin,,Good,67,1966
Basil Sandhurst,Secret Identity,Bad,67,1969
Hobie Brown,Secret Identity,Good,67,1969
Topaz,No Dual Identity,Good,67,1974
Shadow King,,Bad,67,1979
William Cross,Secret Identity,Bad,67,1979
Lance Bannon,Public Identity,Good,67,1980
Rita DeMara,Public Identity,Good,67,1986
Tong (Moloid),Secret Identity,Good,67,2010
Romulus Augustulus,Secret Identity,Bad,66,1963
Super-Adaptoid,Secret Identity,Bad,66,1966
John Proudstar,Secret Identity,Good,66,1975
Christoph Nord,Secret Identity,Good,66,1992
Maya Lopez,Secret Identity,Good,66,1999
Old Lace,No Dual Identity,Good,66,2003
Humberto Lopez,Secret Identity,Good,66,2009
Luchino Nefaria,Public Identity,Bad,65,1965
Jennifer Kale,Secret Identity,Good,65,1972
Douglas Scott,Secret Identity,Bad,65,1981
Ashley Kafka,No Dual Identity,Good,65,1991
Robert Herman,Secret Identity,Neutral,65,2001
Shuri,Public Identity,Good,65,2005
Justin Hammer,Public Identity,Bad,64,1979
Michael Steel,Secret Identity,Bad,64,1980
Kristoff Vernard,Secret Identity,Good,64,1982
Gateway,Secret Identity,Good,64,1988
Lily Hollister,Public Identity,Bad,64,2008
Tyr Odinson,Secret Identity,Bad,63,1962
Krang,Secret Identity,Neutral,63,1963
Zebediah Killgrave,Public Identity,Bad,63,1964
En Dwi Gast,Secret Identity,Bad,63,1969
Arthur Stacy,,Good,63,1971
David Griffith,No Dual Identity,Good,63,1972
Franklin Hall,Public Identity,Bad,63,1977
Microtron,,,63,1979
Sara Wolfe,Public Identity,Good,63,1979
Simon Utrecht,Secret Identity,Bad,63,1980
Vertigo (Savage Land Mutate),Secret Identity,Bad,63,1982
Armando Mu\u00f1oz,Secret Identity,Good,63,2006
Jeanne Foucault,Secret Identity,Good,63,2010
Bruno Horgan,Secret Identity,Bad,62,1963
Owen Reece,Secret Identity,Neutral,62,1963
Phineas Mason,Public Identity,Neutral,62,1963
Man-Beast,Secret Identity,Bad,62,1966
Candace Southern,No Dual Identity,Good,62,1967
Heather Glenn,No Dual Identity,Good,62,1975
Rintrah,Secret Identity,Good,62,1986
Kevin Masterson,Public Identity,Good,62,1988
Arkady Rossovich,Secret Identity,Bad,62,1992
Karima Shapandar,Secret Identity,Good,62,2000
Norah Winters,No Dual Identity,Good,62,2008
Brandon Sharpe,Public Identity,Good,62,2010
Plan Chu,Secret Identity,Bad,61,1956
William Connors,No Dual Identity,Good,61,1963
Modred,Secret Identity,Neutral,61,1975
James Darnell,Secret Identity,Bad,61,1980
Carnage (Symbiote),Public Identity,Bad,61,1992
Venus (Siren),Secret Identity,Good,61,2006
